race_year,circuit_key,hard_code,medium_code,soft_code,source_url
2022,são_paulo_grand_prix,C2,C3,C4,https://press.pirelli.com/2022-brazil-grand-prix---preview/
2022,abu_dhabi_grand_prix,C3,C4,C5,https://press.pirelli.com/2022-abu-dhabi-grand-prix---preview/
2023,bahrain_grand_prix,C1,C2,C3,https://press.pirelli.com/2023-bahrain-grand-prix---preview/
2023,saudi_arabian_grand_prix,C2,C3,C4,https://press.pirelli.com/2023-saudi-arabian-grand-prix---preview/
2023,australian_grand_prix,C2,C3,C4,https://press.pirelli.com/2023-australian-grand-prix---preview/
2023,azerbaijan_grand_prix,C3,C4,C5,https://press.pirelli.com/2023-azerbaijan-grand-prix---preview/
2023,miami_grand_prix,C2,C3,C4,https://press.pirelli.com/2023-miami-grand-prix---preview/
2023,monaco_grand_prix,C3,C4,C5,https://press.pirelli.com/2023-monaco-grand-prix---preview/
2023,spanish_grand_prix,C1,C2,C3,https://press.pirelli.com/2023-spanish-grand-prix---preview/
2023,canadian_grand_prix,C3,C4,C5,https://press.pirelli.com/2023-canadian-grand-prix---preview/
2023,austrian_grand_prix,C3,C4,C5,https://press.pirelli.com/2023-austrian-grand-prix---preview/
2023,british_grand_prix,C1,C2,C3,https://press.pirelli.com/2023-british-grand-prix---preview/
2023,hungarian_grand_prix,C3,C4,C5,https://press.pirelli.com/2023-hungarian-grand-prix---preview/
2023,belgian_grand_prix,C2,C3,C4,https://press.pirelli.com/2023-belgian-grand-prix---preview/
2023,dutch_grand_prix,C1,C2,C3,https://press.pirelli.com/2023-dutch-grand-prix---preview/
2023,italian_grand_prix,C3,C4,C5,https://press.pirelli.com/2023-italian-grand-prix---preview/
2023,singapore_grand_prix,C3,C4,C5,https://press.pirelli.com/2023-singapore-grand-prix---preview/
2023,japanese_grand_prix,C1,C2,C3,https://press.pirelli.com/2023-japanese-grand-prix---preview/
2023,qatar_grand_prix,C1,C2,C3,https://press.pirelli.com/2023-qatar-grand-prix---preview/
2023,united_states_grand_prix,C2,C3,C4,https://press.pirelli.com/2023-united-states-grand-prix---preview/
2023,mexico_city_grand_prix,C3,C4,C5,https://press.pirelli.com/2023-mexico-grand-prix---preview/
2023,são_paulo_grand_prix,C2,C3,C4,https://press.pirelli.com/2023-brazil-grand-prix---preview/
2023,las_vegas_grand_prix,C3,C4,C5,https://press.pirelli.com/2023-las-vegas-grand-prix---preview/
2023,abu_dhabi_grand_prix,C3,C4,C5,https://press.pirelli.com/2023-abu-dhabi-grand-prix---preview/
2024,bahrain_grand_prix,C1,C2,C3,https://press.pirelli.com/2024-bahrain-grand-prix---preview/
2024,saudi_arabian_grand_prix,C2,C3,C4,https://press.pirelli.com/2024-saudi-arabian-grand-prix---preview/
2024,australian_grand_prix,C3,C4,C5,https://press.pirelli.com/2024-australian-grand-prix---preview/
2024,japanese_grand_prix,C1,C2,C3,https://press.pirelli.com/2024-japanese-grand-prix---preview/
2024,chinese_grand_prix,C2,C3,C4,https://press.pirelli.com/2024-chinese-grand-prix---preview/
2024,miami_grand_prix,C2,C3,C4,https://press.pirelli.com/2024-miami-grand-prix---preview/
2024,emilia_romagna_grand_prix,C3,C4,C5,https://press.pirelli.com/2024-emilia-romagna-grand-prix---preview/
2024,monaco_grand_prix,C3,C4,C5,https://press.pirelli.com/2024-monaco-grand-prix---preview/
2024,canadian_grand_prix,C3,C4,C5,https://press.pirelli.com/2024-canadian-grand-prix---preview/
2024,spanish_grand_prix,C1,C2,C3,https://press.pirelli.com/2024-spanish-grand-prix---preview/
2024,austrian_grand_prix,C3,C4,C5,https://press.pirelli.com/2024-austrian-grand-prix---preview/
2024,british_grand_prix,C1,C2,C3,https://press.pirelli.com/2024-british-grand-prix---preview/
2024,hungarian_grand_prix,C3,C4,C5,https://press.pirelli.com/2024-hungarian-grand-prix---preview/
2024,belgian_grand_prix,C2,C3,C4,https://press.pirelli.com/2024-belgian-grand-prix---preview/
2024,dutch_grand_prix,C1,C2,C3,https://press.pirelli.com/2024-dutch-grand-prix---preview/
2024,italian_grand_prix,C2,C3,C4,https://press.pirelli.com/2024-italian-grand-prix---preview/
2024,azerbaijan_grand_prix,C3,C4,C5,https://press.pirelli.com/2024-azerbaijan-grand-prix---preview/
2024,singapore_grand_prix,C3,C4,C5,https://press.pirelli.com/2024-singapore-grand-prix---preview/
2024,united_states_grand_prix,C2,C3,C4,https://press.pirelli.com/2024-united-states-grand-prix---preview/
2024,mexico_city_grand_prix,C3,C4,C5,https://press.pirelli.com/2024-mexico-grand-prix---preview/
2024,são_paulo_grand_prix,C3,C4,C5,https://press.pirelli.com/2024-brazil-grand-prix---preview/
2024,las_vegas_grand_prix,C3,C4,C5,https://press.pirelli.com/2024-las-vegas-grand-prix---preview/
2024,qatar_grand_prix,C1,C2,C3,https://press.pirelli.com/2024-qatar-grand-prix---preview/
2024,abu_dhabi_grand_prix,C3,C4,C5,https://press.pirelli.com/2024-abu-dhabi-grand-prix---preview/
