driver_id,season_n,predicted_residual_s,actual_residual_s,nr_n,nr_n1,constructor_n,constructor_n1,switched,error_s
ALB,2023,-1.2366271837654397,-1.0922636296102304,21,19,Williams,Williams,False,-0.1443635541552093
HUL,2018,-0.828542881645784,-1.040768347680848,17,20,Renault,Renault,False,0.21222546603506398
RUS,2021,-1.0541612254794963,-0.7931055657228275,20,20,Williams,Mercedes,True,-0.2610556597566688
PER,2018,-0.9778633763411613,-1.114292069956054,17,20,Force India,Racing Point,True,0.13642869361489263
MAG,2023,-0.7798301539114235,-0.7820642007978034,21,21,Haas F1 Team,Haas F1 Team,False,0.002234046886379848
BOT,2019,-0.7757520547066561,-0.5077819499930022,21,17,Mercedes,Mercedes,False,-0.2679701047136539
GAS,2021,-1.2055834769698635,-0.9116351152850305,18,21,AlphaTauri,AlphaTauri,False,-0.29394836168483296
BOT,2022,-1.0534728963852757,-0.754266141943372,20,21,Alfa Romeo,Alfa Romeo,False,-0.2992067544419037
HUL,2023,-1.0382697943843056,-0.9827281099721942,21,23,Haas F1 Team,Haas F1 Team,False,-0.05554168441211138
PER,2023,-0.5006867068835601,-0.41878392538280146,21,22,Red Bull Racing,Red Bull Racing,False,-0.08190278150075864
MAG,2018,-0.9522912700469474,-1.167115936654686,17,20,Haas F1 Team,Haas F1 Team,False,0.21482466660773858
HAM,2020,-0.8798051619988231,-1.1656532122408862,16,20,Mercedes,Mercedes,False,0.28584805024206317
RAI,2020,-0.884744651394617,-1.1346437141399022,16,18,Alfa Romeo Racing,Alfa Romeo Racing,False,0.24989906274528517
HUL,2022,-0.8819225780715162,-1.0382697943843056,2,21,Aston Martin,Haas F1 Team,True,0.15634721631278936
PER,2019,-1.114292069956054,-1.321124503325044,20,13,Racing Point,Racing Point,False,0.20683243336899015
LEC,2021,-0.9293672966059573,-0.8673190498459249,19,18,Ferrari,Ferrari,False,-0.0620482467600324
VER,2021,-1.1067595109621997,-1.024154671503081,19,22,Red Bull Racing,Red Bull Racing,False,-0.08260483945911878
PER,2022,-0.3640306785762546,-0.5006867068835601,22,21,Red Bull Racing,Red Bull Racing,False,0.1366560283073055
BOT,2018,-0.454936013166452,-0.7757520547066561,20,21,Mercedes,Mercedes,False,0.3208160415402041
MAG,2022,-0.7449483674823961,-0.7798301539114235,19,21,Haas F1 Team,Haas F1 Team,False,0.034881786429027395
MAG,2019,-1.167115936654686,-1.1569042402467649,20,14,Haas F1 Team,Haas F1 Team,False,-0.010211696407921078
OCO,2021,-0.9765157720174049,-0.9611802095069759,20,21,Alpine,Alpine,False,-0.015335562510429002
STR,2021,-0.9468530294858601,-0.792495436740107,20,22,Aston Martin,Aston Martin,False,-0.1543575927457531
HUL,2019,-1.040768347680848,-0.8908019074012642,20,2,Renault,Racing Point,True,-0.14996644027958383
SAI,2020,-1.0849615042877918,-0.8336892009307958,14,19,McLaren,Ferrari,True,-0.251272303356996
BOT,2023,-0.754266141943372,-0.9867120746761762,21,24,Alfa Romeo,Kick Sauber,True,0.23244593273280412
