scheme,circuit_key,n,races,coverage,below_lo,above_hi,mean_width
mondrian_sym,emilia_romagna_grand_prix,788,1,0.8756345177664975,0.03934010152284264,0.0850253807106599,7.5870199302079
mondrian_sym,hungarian_grand_prix,1563,2,0.8739603326935381,0.05566218809980806,0.07037747920665387,7.573385085722728
mondrian_sym,italian_grand_prix,1079,2,0.8378127896200185,0.082483781278962,0.07970342910101946,6.014474699627326
mondrian_sym,japanese_grand_prix,733,2,0.844474761255116,0.11186903137789904,0.04365620736698499,9.589005939688986
mondrian_sym,las_vegas_grand_prix,798,2,0.8070175438596491,0.08771929824561403,0.10526315789473684,8.614049595261541
mondrian_sym,mexico_city_grand_prix,1544,2,0.8821243523316062,0.04727979274611399,0.0705958549222798,7.4137631996916
mondrian_sym,miami_grand_prix,1282,2,0.8205928237129485,0.07956318252730109,0.0998439937597504,5.998096745822766
mondrian_sym,monaco_grand_prix,1960,2,0.7244897959183674,0.20408163265306123,0.07142857142857142,11.52031339130789
mondrian_sym,qatar_grand_prix,786,2,0.9987277353689568,0.0,0.001272264631043257,19.369606054568074
mondrian_sym,saudi_arabian_grand_prix,1013,2,0.8223099703849951,0.11648568608094768,0.06120434353405726,8.260527969768859
mondrian_sym,singapore_grand_prix,1346,2,0.9353640416047548,0.02823179791976226,0.036404160475482915,10.674324422950125
mondrian_sym,spanish_grand_prix,1456,2,0.9141483516483516,0.05013736263736264,0.03571428571428571,9.87555267044509
mondrian_sym,são_paulo_grand_prix,903,2,0.8549280177187154,0.10741971207087486,0.03765227021040975,8.92942112172674
mondrian_sym,united_states_grand_prix,974,2,0.8429158110882957,0.10369609856262833,0.053388090349075976,5.734595401249354
mondrian_asym,abu_dhabi_grand_prix,1108,2,0.8664259927797834,0.08212996389891697,0.05144404332129964,6.329822951676345
mondrian_asym,australian_grand_prix,925,2,0.7643243243243243,0.13837837837837838,0.0972972972972973,5.859102481264148
mondrian_asym,austrian_grand_prix,1306,2,0.7656967840735069,0.06891271056661562,0.16539050535987748,5.928299724630816
mondrian_asym,azerbaijan_grand_prix,1176,2,0.7721088435374149,0.11139455782312925,0.11649659863945579,5.995356769380315
mondrian_asym,bahrain_grand_prix,922,2,0.8427331887201736,0.08676789587852494,0.07049891540130152,6.314556235512094
mondrian_asym,belgian_grand_prix,657,2,0.8858447488584474,0.0213089802130898,0.0928462709284627,12.44038763834646
mondrian_asym,british_grand_prix,842,2,0.6187648456057007,0.2007125890736342,0.18052256532066507,7.5241546944212745
mondrian_asym,canadian_grand_prix,1210,2,0.9041322314049587,0.06198347107438017,0.033884297520661154,9.700700754573269
mondrian_asym,chinese_grand_prix,386,1,0.961139896373057,0.012953367875647668,0.025906735751295335,9.224474727595833
mondrian_asym,dutch_grand_prix,1467,2,0.8302658486707567,0.08861622358554874,0.08111792774369461,8.731273776532108
mondrian_asym,emilia_romagna_grand_prix,788,1,0.751269035532995,0.0266497461928934,0.22208121827411167,6.706335335535794
mondrian_asym,hungarian_grand_prix,1563,2,0.8688419705694178,0.07933461292386436,0.05182341650671785,7.790755673372648
mondrian_asym,italian_grand_prix,1079,2,0.8322520852641334,0.06672845227062095,0.1010194624652456,5.970429340503763
mondrian_asym,japanese_grand_prix,733,2,0.8308321964529332,0.15006821282401092,0.019099590723055934,10.185954942681956
mondrian_asym,las_vegas_grand_prix,798,2,0.8020050125313283,0.08646616541353383,0.11152882205513784,8.618675459489808
mondrian_asym,mexico_city_grand_prix,1544,2,0.8866580310880829,0.05310880829015544,0.06023316062176166,7.473134425160849
mondrian_asym,miami_grand_prix,1282,2,0.7909516380655226,0.13260530421216848,0.07644305772230889,5.894937067251182
mondrian_asym,monaco_grand_prix,1960,2,0.725,0.20408163265306123,0.07091836734693878,11.529994213461691
mondrian_asym,qatar_grand_prix,786,2,0.9936386768447837,0.005089058524173028,0.001272264631043257,20.248176872612834
mondrian_asym,saudi_arabian_grand_prix,1013,2,0.8232971372161896,0.10069101678183613,0.07601184600197433,7.843152414359077
mondrian_asym,singapore_grand_prix,1346,2,0.8900445765230312,0.01337295690936107,0.09658246656760773,10.293290474452633
mondrian_asym,spanish_grand_prix,1456,2,0.882554945054945,0.09684065934065934,0.020604395604395604,9.762207665287873
mondrian_asym,são_paulo_grand_prix,903,2,0.8648947951273532,0.08084163898117387,0.05426356589147287,8.979654129034436
mondrian_asym,united_states_grand_prix,974,2,0.8449691991786448,0.10369609856262833,0.0513347022587269,5.826231716582763
